ident	id	idAuthor	target	idDate	targetDate
3469522	Hobomok, a tale of early times	Lydia Maria Francis Child	William Cullen Bryant	1824	5000
3469776	Yorktown	E. L Cushing	George Gordon Byron	1826	5000
3469781	Francis Berrian	Timothy Flint	Francisco de Quevedo	1826	1645
3470604	The life and adventures of Dr. Caleb	Aaron Lummus	Paul the Apostle	1822	67
3471348	Keep cool	John Neal	Solomon Gun-dy	1817	5000
3471418	Logan	John Neal	William Shakespeare	1822	1616
3477271	The celebrated Mrs	Laetitia Pilkington	Jonathan Swift	1764	1745
3478066	Hope Leslie	Catharine Maria Sedgwick	Eliza Lee Cabot Follen	1827	5000
3478155	A New-England tale	Catharine Maria Sedgwick	Robert Burns	1822	1796
3478219	Redwood	Catharine Maria Sedgwick	William Paley	1824	5000
3478620	A voyage to the moon	George Tucker	Shakespeare	1827	1616
3488499	The pilgrims progress from this world to	John Bunyan	Hosea	1761	5000
3488547	The pilgrims progress from this world to	John Bunyan	Hosea	1760	5000
3490269	Pleseant history of Parismus	Emanuel Ford	Poems	1704	5000
3570636-1	The thatchers wife	Richard Marks	John Newton	1824	5000
3570636-2	The thatchers wife	Richard Marks	John Newton	1824	5000
3571220-1	Ellen	Marshall	Isaac Watts	1820	1748
3571220-2	Ellen	Marshall	Isaac Watts	1820	1748
3571294	A visit to a sabbath evening school	Sabbath school teacher	John Fawcett	1818	5000
361053	The memoirs of Miss Arabella Bolton	null	Nicholas Rowe	1770	1718
374841	Never despair	Hermann Bokum	William Shakespeare	1837	1616
374953	Calavar	Robert Montgomery Bird	Garcilaso de la Vega	1847	1536
374959	Kate Clarendon	Emerson Bennett	Anon	1848	5000
375219	A romance of the sea-serpent	Eugene Batchelder	William Shakespeare	1849	1616
375220	Ellen Parry	Emily Edson Briggs	Samuel Rogers	1850	5000
375224	Tales of the puritans	Delia Salter Bacon	Lord Byron	1831	5000
375225	The Atlantic club-book	null	Roberth Herrick	1834	5000
375230	The Fire-Screen	Anna Bache	Samuel Taylor Coleridge	1841	5000
375233	Julia of Baiae	John Walker Brown	Salis	1843	5000
375432	Modern chivalry	H. H Brackenridge	Juvenal	1792	130
