ident	id	idAuthor	target	idDate	targetDate	gender	totalMale	totalFemale	epMale	epFemale	percentMale	percentFemale
90019	Charlotte	Rowson	William Shakespeare	1794	1616	Female
973317	Miscellaneous works, prose and poetical	John Blair Linn	Horace	1795	-8	Male
ocm00742172 	Tales of wonder	M. G Lewis	Thomas Middleton	1801	1627	Male
ocm01180901 	Cottage on the cliff	Catherine G Ward	William Shakespeare	1823	1616	Female
ocm01336923 	The Knight of St. John	Anna Maria Porter	Dante Alighieri	1817	1321	Female
ocm02060360 	The asylum	Daniel Jackson	Timothy Dwight	1811	5000	Male
ocm02861722 	Discipline	Mary Brunton	Joanna Baillie	1814	5000	Female
ocm03596752 	The fast of St. Magdalen	Anna Maria Porter	Dante Alighieri	1818	1321	Female
ocm04635045 	The fortunes of Nigel	Walter Scott	George Canning	1822	5000	Male
ocm06536542 	Self-control	Mary Brunton	William Cowper	1811	1800	Female
ocm06756321 	Brambleton Hall	null	Horace	1818	-8	Male
ocm06929107 	Fatal revenge	Charles Robert Maturin	Lucian	1807	5000	Male
ocm06972377 	The recluse of Norway	Anna Maria Porter	James Montgomery	1814	5000	Female
ocm06972448 	The village of Mariendorpt	Anna Maria Porter	Euripides	1821	-406	Female
ocm06977863 	The lake of Killarney	Anna Maria Porter	Pietro Metastasio	1804	1782	Female
ocm07026767 	The children of the abbey	Regina Maria Roche	James Thomson	1807	1748	Female
ocm07026880 	Contrast	Regina Maria Roche	Isaac Watts	1828	1748	Female
ocm07027666 	The marchioness!!! Or	Ross	John Gay	1813	1732	Female
ocm07032000 	The Munster cottage boy	Regina Maria Roche	James Beattie	1820	5000	Female
ocm09930143 	The life of Pill Garlick	Edmond Temple	J.-B. P. de Moliere	1813	1673	Male
ocm10377134 	The vagabond	George Walker	Plutarch	1800	5000	Male
ocm10448517 	Trecothick Bower	Regina Maria Roche	David Mallet	1816	1765	Female
ocm10847141 	Caroline Lismore	Alicia Catherine Mant	Jane West	1815	5000	Female
ocm14032243 	Don Sebastian	Anna Maria Porter	William Shakespeare	1809	1616	Female
ocm14975239 	Lady Janes pocket	Author of Silvanella	D. (David) Lewis	1815	1760	Female
ocm16348484 	Love and satire	null	Jean-Jacques Rousseau	1805	1778	Female
ocm18056772	The balance of comfort	Ross	William Cowper	1817	1800	Female
ocm21618027 	The advantages of education	Jane West	Gilbert West	1803	1756	Female
ocm22774772 	The forest girl	Catherine G Ward	"John, Bowdler"	1826	5000	Female
ocm25074779 	The fortunes of Nigel	Walter Scott	George Canning	1822	5000	Male
ocm27442362 	Destination	Clara Reeve	John Milton	1799	1674	Female
ocm38981912 	The fortunes of Nigel	Walter Scott	George Canning	1822	5000	Male
ocm49835584 	Octavia	Anna Maria Porter	Robert Dodsley	1798	1764	Female
ocm50543021 	The natural daughter	Mary Robinson	William Shakespeare	1799	1616	Female
ocm50917140 	Thornton abbey	John Satchel	Ely Bates	1806	5000	Male
ocm52981134 	Traits of nature	Sarah Harriet Burney	Alexander Pope	1813	1745	Female
ocm63548219 	The village of Mariendorpt	Anna Maria Porter	R. Potter	1821	5000	Female
ocm70516068 	Characters at Brighton	Anne Trelawney	William Shakespeare	1808	1616	Female
ocn123448855	The express	Maintenon	Horace	1819	8	Female
ocn187453083	The fishers daughter	Catherine G Ward	Walter Scott	1824	5000	Female
ocn191257087	The fortunes of Nigel	Walter Scott	George Canning	1822	5000	Male
ocn228749189	The old manor house	Charlotte Smith	Lodovico Ariosto	1793	1533	Female
ocn265013947	Siberian anecdotes	null	Horace	1783	-8	Male
ocn482476225	Nocturnal visit	Regina Maria Roche	William Shakespeare	1800	1616	Male
ocn486073979	Traits of nature	Sarah Harriet Burney	Alexander Pope	1812	1744	Male
ocn607607606	Lawrie Todd	John Galt	William Shakespeare	1830	1616	Male
