id	idAuthor	target	idDate	targetDate
John Buncle, junior, gentleman	T Cogan	John Donne	1776	1631
The history of John Juniper, Esq	Charles Johnstone	R. (Robert) Baldwin	1781	5000
The history of Lady Barton	Griffith	Pliny the Elder	1771	79
Laura and Augustus, an authentic story	Young lady	Phillips.	1784	5000
Letters between two lovers	William Combe	Voltaire	1781	1778
Letters from Lysander	Lysander	Alexander Pope	1773	1744
Letters supposed to have been written	Laurence Sterne	John Bew	1779	5000
The life and adventures of Joe Thompson	Edward Kimber	Alexander Pope	1783	1744
The life of John Buncle, Esq	Thomas Amory	T. (Thomas) Cadell	1770	5000
The life of Lamenther	Anne Wall	William Shakespeare	1771	1616
Love and madness. A story too true	Herbert Croft	George Kearsley	1780	5000
The loves of Calisto and Emira	John Seally	Countess Elizabeth Messerati	1776	5000
The loves of Mirtil son of Adonis a pastoral	null	 Fontenelle	1770	1757
The man of the world. In two parts	Henry Mackenzie	Horace	1773	-8
Memoirs of the Marquis de St. Forlaix	Nicolas Etienne Framery	Thomas Corneille	1770	1709
The married victim	null	John Home	1772	9
Memoirs of Maitre Jacques, of Savoy	null	P. C. Lewis	1779	5000
The history of Miss Temple. In two	A Rogers	Fielding and Walker (Firm)	1777	5000
The mistakes of the heart	Pierre Henri Treyssac de Vergy	Prior	1770	1141
Mr. Bentley, the rural philosopher	Henry Man	Virgil	1775	-19
The new modern story-teller	null	Phaedrus	1772	5000
The old maid	Skinn	Ben Jonson	1771	1637
Original love-letters	William Combe	W. Porter	1784	5000
The paths of virtue delineated	null	R. Baldwin	1773	5000
The shipwreck and adventures of Monsieur	Jean Gaspard Dubois-Fontanelle	Thomas Davies	1771	5000
The pilgrim	Charles Johnstone	Juvenal	1775	0130
The placid man	Charles Jenner	J. Wilkie	1770	5000
The placid man	Charles Jenner	Terence	1773	0159
The pupil of pleasure	Pratt	Eugenia Stanhope	1776	5000
The recess	Sophia Lee	William Shakespeare	1783	1616
The reverie	Charles Johnstone	John Milton	1776	1674
The royal adventurers	null	G. Allen	1773	5000
Shenstone-Green	Pratt	Shenstone.	1779	1763
Shenstone-Green	Pratt	Charles Watson marquis of Rockingham Wentworth	1780	5000
Solyman and Almena. An oriental tale	John Langhorne	Virgil	1780	-19
Something new. In two	Richard Griffith	Anthony Ashley Cooper, Earl of Shaftesbury	1772	1713
The sorrows of Werter	Johann Wolfgang von Goethe	James Dodsley	1780	5000
The spiritual Quixote	Richard Graves	James Dodsley	1773	5000
Sutton-Abbey	null	R. C. Lester French	1780	5000
The sylph	Georgiana Spencer Cavendish Devonshire	Thomas Lowndes	1779	5000
A tale of a tub	Jonathan Swift	Lucretius	1781	-55
The temple of virtue, a dream	David Fordyce	Elihu.	1775	5000
Letters between Theodosius and Constantia	John Langhorne	J. Taylor	1770	5000
The true anti-Pamela	James Parry	J. Lever	1770	5000
The two mentors	Clara Reeve	Simonides	1783	5000
A true narrative of an unfortunate elopement	Thomas Simes	W. Holdsworth	1770	5000
Woodbury	null	Young	1773	5000
The works of Dr Jonathan Swift	Jonathan Swift	Lucretius	1774	-55
The works of the reverend Dr. Jonathan Swift	Jonathan Swift	Virgil	1772	-19
The younger brother, a tale. [epigraph	null	Francis Newbery	1770	5000
The life and opinions of Tristram Shandy	Laurence Sterne	Early Novels	1782	5000
The pilgrim's progress	John Bunyan	Henry Young	1728	5000
The letters that passed between Theodosius	John Langhorne	Joseph Addison	1763	1719
History of Constantius and Pulchera	null	A. Pratt	1821	5000
The rebels	Lydia Maria Francis Child	George Ticknor	1825	1
The elixir of moonshine	McDonald Clarke	Lunux.	1822	5000
The spy	James Fenimore Cooper	Sir Walter Scott	1822	5000
The pilot	James Fenimore Cooper	George Alexander Stevens	1823	1784
Salmagundi	Washington Irving	Psalmanazar	1820	1763
The valley of Shenandoah	George Tucker	Sir H. Wotton.	1824	5000
Hobomok, a tale of early times	Lydia Maria Francis Child	Lydia Maria Child	1824	5000
Yorktown	E. L Cushing	Lilly	1826	5000
Francis Berrian	Timothy Flint	Timothy Flint	1826	5000
The life and adventures of Dr. Caleb	Aaron Lummus	Paul the Apostle	1822	67
Keep cool	John Neal	Solomon Gun-dy	1817	5000
Logan, a family history. In two	John Neal	William Shakespeare	1822	1616
The celebrated Mrs	Laetitia Pilkington	Jonathan Swift	1764	1745
Hope Leslie	Catharine Maria Sedgwick	Eliza Lee Cabot Follen	1827	5000
A New-England tale	Catharine Maria Sedgwick	Robert Burns	1822	1796
Redwood	Catharine Maria Sedgwick	James Dill	1824	5000
A voyage to the moon	George Tucker	Shakespeare	1827	1616
The pilgrim's progress from this world to	John Bunyan	Hosea	1761	5000
The pilgrim's progress from this world to	John Bunyan	Hosea	1760	5000
The most famous, delectable	Emanuel Ford	Poems	1704	5000
The thatcher's wife	Richard Marks	John Newton	1824	5000
The thatcher's wife	Richard Marks	John Newton	1824	5000
Ellen	Marshall	Isaac Watts	1820	1748
Ellen	Marshall	Isaac Watts	1820	1748
A visit to a sabbath evening school	Sabbath school teacher	John Fawcett	1818	5000
The memoirs of Miss Arabella Bolton	null	Isaac Fell	1770	5000
Never despair	Hermann Bokum	William Shakespeare	1837	1616
Calavar	Robert Montgomery Bird	Blanchard	1847	5000
Kate Clarendon	Emerson Bennett	Anon	1848	5000
A romance of the sea-serpent	Eugene Batchelder	Metcalf	1849	5000
Ellen Parry	Emily Edson Briggs	Samuel Rogers	1850	5000
Tales of the puritans. The regicides	Delia Salter Bacon	Lord Byron	1831	5000
The Atlantic club-book	null	Roberth Herrick	1834	5000
The Fire-Screen	Anna Bache	William S. Young	1841	5000
Julia of Baiae	John Walker Brown	Frederick J. Goodwin	1843	5000
Modern chivalry	H. H Brackenridge	Juvenal	1792	0130
Modern chivalry	H. H Brackenridge	Horace	1825	-8
Calavar	Robert Montgomery Bird	Blanchard	1834	5000
The hawks of hawk-hollow	Robert Montgomery Bird	William Shakespeare	1835	1616
The infidel	Robert Montgomery Bird	Pedro Calderon de la Barca	1835	1681
The infidel	Robert Montgomery Bird	Pedro Calderon de la Barca	1835	1681
Blackbeard	null	John F. (John Fanning) Watson	1835	5000
Peter Pilgrim	Robert Montgomery Bird	Robert Burton	1838	1640
The adventures of Robin Day	Robert Montgomery Bird	William Shakespeare	1839	1616
The witch of New England	John C M\Call	I. Lea	1824	5000
Miscellaneous works of Dr. William Wagstaffe	William Wagstaffe	Horace	1726	-8
Little truths better than great fables	William Darton	James Crukshank	1800	5000
Modern chivalry	H. H Brackenridge	Horace	1808	-8
The hawks of Hawk-Hollow	Robert Montgomery Bird	William Shakespeare	1835	1616
The missionary convention at Jerusalem	David Abeel	George F. (George Folliet) Hopkins	1838	5000
Adsonville	Edward Hull	Richard R. Lansing	1824	5000
Lorette	George Bourne	Roland Bourne	1833	5000
A journal, of a young man of Massachusetts	Benjamin Waterhouse	William Shakespeare	1816	1616
