id	title	author	date	epigraph_author	d	4	5
341479	"John Buncle, junior, gentleman."	"Cogan, T"	1776	"['Massillon, Jean-Baptiste']"	['1663-1742']	['Author (epigraph)']	['Authorized']
341479	"John Buncle, junior, gentleman."	"Cogan, T"	1776	['Juvenal']		['Author (epigraph)']	['Authorized']
341479	"John Buncle, junior, gentleman."	"Cogan, T"	1776	"['Pope, Alexander']"	['1688-1744']	['Author (epigraph)']	['Authorized']
341479	"John Buncle, junior, gentleman."	"Cogan, T"	1776	['Moli̬re']	['1622-1673']	['Author (epigraph)']	['Authorized']
341479	"John Buncle, junior, gentleman."	"Cogan, T"	1776	"['Rowe, Nicholas']"	['1674-1718']	['Author (epigraph)']	['Authorized']
341479	"John Buncle, junior, gentleman."	"Cogan, T"	1776	['Plato']		['Author (epigraph)']	['Authorized']
341479	"John Buncle, junior, gentleman."	"Cogan, T"	1776	"['Beattie, James']"	['1735-1803']	['Author (epigraph)']	['Authorized']
341479	"John Buncle, junior, gentleman."	"Cogan, T"	1776	"['Donne, John']"	['1572-1631']	['Author (epigraph)']	['Authorized']
341480	"The history of John Juniper, Esq. alias Juniper Jack. Containing the birth, parentage, and education, life, adventures, and character of that most wonderful and surprizing gentleman. By the editor of the Adventures of a Guinea. Vol. I."	"Johnstone, Charles"	1781	['Juvenal']		['Author (epigraph)']	['Authorized']
341486	"The history of Lady Barton, a novel, in letters. By Mrs. Griffith. In three volumes. Vol I."	Griffith	1771	"['Pliny, the Elder']"		['Author (epigraph)']	['Authorized']
341521	"Letters from Lysander: or, amusement for the good-humoured."	Lysander	1773	['Horace']		['Author (epigraph)']	['Authorized']
341521	"Letters from Lysander: or, amusement for the good-humoured."	Lysander	1773	"['Pope, Alexander']"	['1688-1744']	['Author (epigraph)']	['Authorized']
341524	Letters supposed to have been written by Yorick and Eliza. In two volumes. Vol. I.	"Sterne, Laurence"	1779	"['Akenside, Mark']"	['1721-1770']	['Author (epigraph)']	['Authorized']
341526	The life and adventures of Joe Thompson. A narrative founded on fact. By Mr. Kimber. In two volumes.	"Kimber, Edward"	1783	"['Pope, Alexander']"	['1688-1744']	['Author (epigraph)']	['Authorized']
341528	"The life of John Buncle, Esq; containing various observations and reflections, made in several parts of the world, and many extraordinary relations. In four volumes. Vol. I. A new edition."	"Amory, Thomas"	1770	"['Volusenus, Florentius']"	['1504?-1546 or 7']	['Author (epigraph)']	['Authorized']
341528	"The life of John Buncle, Esq; containing various observations and reflections, made in several parts of the world, and many extraordinary relations. In four volumes. Vol. I. A new edition."	"Amory, Thomas"	1770	['Epictetus']		['Author (epigraph)']	['Authorized']
341529	"The life of Lamenther: a true history. Written by herself. In five parts. Containing a just account of the many misfortunes she underwent, occasioned by the ill Treatment of an unnatural Father."	"Wall, Anne"	1771	"['Shakespeare, William']"	['1564-1616']	['Author (epigraph)']	['Authorized']
341533	"Love and madness. A story too true. In a series of letters between parties, whose names would perhaps be mentioned, were they less known, or less lamented."	"Croft, Herbert"	1780	"['Behn, Aphra']"	['1640-1689']	['Author (epigraph)']	['Authorized']
341533	"Love and madness. A story too true. In a series of letters between parties, whose names would perhaps be mentioned, were they less known, or less lamented."	"Croft, Herbert"	1780	"['Shakespeare, William']"	['1564-1616']	['Author (epigraph)']	['Authorized']
341535	"The loves of Calisto and Emira; or, the fatal legacy. Published from the originals, by John Seally, gent."	"Seally, John"	1776	"['Prior, Matthew']"	['1664-1721']	['Author (epigraph)']	['Authorized']
341536	The loves of Mirtil son of Adonis a pastoral.		1770	"['Catullus, Gaius Valerius']"		['Author (epigraph)']	['Authorized']
341548	"The married victim: or, the history of Lady Villars. A narrative founded on facts. [Epigraph] Volume I."		1772	"['Home, John']"	['1722-1808']	['Author (epigraph)']	['Authorized']
341554	"Memoirs of Maitre Jacques, of Savoy. The second edition."		1779	['Horace']		['Author (epigraph)']	
341562	The history of Miss Temple. In two volumes. By a young lady. Vol. I.	"Rogers, A"	1777	"['Young, Edward']"	['1683-1765']	['Author (epigraph)']	['Authorized']
341576	"The new modern story-teller; in a variety of original tales and novels, in verse and in prose. Among which is now first published, by desire, the celebrated tale of the Lawyer and his inkhorn. With a new epilogue. [Epigraph] Vol. I."		1772	['Phaedrus']		['Author (epigraph)']	['Authorized']
